agency,mountain,sigungu,eupmyeon,ri,jibun,areaHa,note
충주국유림관리소,천등산,충주시,산척면,명서리,산1-1,100.60169999999999,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산6-1,55.735500000000002,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산11-1,280.80990000000003,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산11-3,0.32729999999999998,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산11-4,0.12889999999999999,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산18,20.945499999999999,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산25,29.623100000000001,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산25-3,0.48599999999999999,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산25-4,15.927300000000001,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산25-6,1.2595000000000001,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산29,43.806800000000003,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산59,77.747900000000001,산불취약지
충주국유림관리소,천등산,충주시,산척면,명서리,산66,8.7272999999999996,산불취약지
충주국유림관리소,천등산,충주시,산척면,석천리,산22-1,202.06610000000001,산불취약지
충주국유림관리소,천등산,충주시,산척면,석천리,산35-2,1.7445999999999999,산불취약지
충주국유림관리소,천등산,충주시,산척면,석천리,산36-1,64.085999999999999,산불취약지
충주국유림관리소,천등산,충주시,산척면,석천리,산60-1,46.918999999999997,산불취약지
충주국유림관리소,천등산,충주시,산척면,석천리,산106-1,316.91899999999998,산불취약지
충주국유림관리소,천등산,충주시,산척면,석천리,산106-2,1.2595000000000001,산불취약지
충주국유림관리소,천등산,충주시,산척면,석천리,산106-3,0.96199999999999997,산불취약지
충주국유림관리소,천등산,충주시,산척면,송강리,산10,1.9438,
충주국유림관리소,천등산,충주시,산척면,송강리,산26-3,6.2845000000000004,
충주국유림관리소,천등산,충주시,산척면,송강리,산168-1,1.6785000000000001,
충주국유림관리소,천등산,충주시,산척면,송강리,산173-1,0.35699999999999998,
충주국유림관리소,천등산,충주시,산척면,송강리,산176,1.9728000000000001,
충주국유림관리소,천등산,충주시,산척면,송강리,산178-1,2.1421000000000001,
충주국유림관리소,천등산,충주시,산척면,송강리,산179-1,1.5074000000000001,
충주국유림관리소,천등산,충주시,산척면,송강리,산3-1,11.1769,
충주국유림관리소,천등산,충주시,산척면,송강리,산15-1,136.6215,
충주국유림관리소,천등산,충주시,산척면,영덕리,산3,55.338900000000002,산불취약지
충주국유림관리소,천등산,충주시,산척면,영덕리,산2-1,160.11609999999999,산불취약지
충주국유림관리소,충주댐,충주시,동량면,하천리,산1,18.565300000000001,산불취약지
충주국유림관리소,충주댐,충주시,동량면,하천리,산16-2,22.034600000000001,산불취약지
충주국유림관리소,충주댐,충주시,동량면,하천리,산18-2,61.864800000000002,산불취약지
충주국유림관리소,충주댐,충주시,동량면,하천리,산64-1,277.03390000000002,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산1-1,203.78149999999999,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산6-1,133.61619999999999,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산7-1,58.614100000000001,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산9,35.345500000000001,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산11,23.7529,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산12,21.0078,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산35-2,10.8195,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산37,8.5733999999999995,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산38,8.0984999999999996,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산39,9.9618000000000002,산불취약지
충주국유림관리소,부산,충주시,동량면,지동리,산54,4.4429999999999996,산불취약지
충주국유림관리소,오청산,충주시,산척면,송강리,산235-1,5.8909000000000002,중요시설물
충주국유림관리소,오청산,충주시,산척면,송강리,산236-1,716.65530000000001,중요시설물
충주국유림관리소,오청산,충주시,산척면,송강리,산236-155,1.7924,중요시설물
충주국유림관리소,오청산,충주시,산척면,송강리,산242,3.4908999999999999,중요시설물
충주국유림관리소,청계산,충주시,소태면,복탄리,산74-2,21.838000000000001,산불취약지
충주국유림관리소,청계산,충주시,소태면,복탄리,산74-3,12.980600000000001,산불취약지
충주국유림관리소,청계산,충주시,소태면,복탄리,산74-9,34.178199999999997,산불취약지
충주국유림관리소,청계산,충주시,소태면,덕은리,산1,59.206600000000002,산불취약지
충주국유림관리소,청계산,충주시,소태면,덕은리,산5,25.279800000000002,산불취약지
충주국유림관리소,청계산,충주시,소태면,덕은리,산5-6,4.3299999999999998E-2,산불취약지
충주국유림관리소,오청산,충주시,엄정면,가춘리,산8-1,53.156999999999996,산불취약지
충주국유림관리소,빌미산,충주시,엄정면,괴동리,산33,40.859499999999997,산불취약지
충주국유림관리소,보련산,충주시,앙성면,용대리,산25,8.5884,산불위험지
