agency,mountain,sigungu,eupmyeon,ri,jibun,section,km,open,note
충주국유림관리소,사랑산,괴산군,청천면,후영리,산18,용추폭포~사랑산 정상,2.2000000000000002,개방,사랑산등산로
충주국유림관리소,사랑산,괴산군,청천면,후영리,산24,용추폭포~사랑산 정상,2.2000000000000002,개방,사랑산등산로
충주국유림관리소,사랑산,괴산군,청천면,사기막리,산10-1,용추폭포~사랑산 정상,2.2000000000000002,개방,사랑산등산로
충주국유림관리소,사랑산,괴산군,청천면,후영리,산18,양반길~삼거리봉,1.8,개방,사랑산등산로
충주국유림관리소,사랑산,괴산군,청천면,후영리,산24,양반길~삼거리봉,1.8,개방,사랑산등산로
충주국유림관리소,심항산,충주시,종민동,,산71,심항산 산림공원,1.9450000000000001,개방,심항산숲길
충주국유림관리소,심항산,충주시,종민동,,산67,심항산 산림공원,1.9450000000000001,개방,심항산숲길
충주국유림관리소,태양산,충주시,목벌동,,산28-1,호당의원~태양산,4.282,개방,태양산숲길
충주국유림관리소,태양산,충주시,목벌동,,산28-7,호당의원~태양산,4.282,개방,태양산숲길
충주국유림관리소,태양산,충주시,목벌동,,산28-8,호당의원~태양산,4.282,개방,태양산숲길
충주국유림관리소,태양산,충주시,목벌동,,산30,호당의원~태양산,4.282,개방,태양산숲길
충주국유림관리소,태양산,충주시,목벌동,,산38-1,호당의원~태양산,4.282,개방,태양산숲길
충주국유림관리소,동서트레일 29구간,괴산군,청천면,상신리,산25-1,금단산 고개길~상신임도입구,1.8,개방,동서트레일구간
충주국유림관리소,백두대간,괴산군,청천면,삼송리,산11-1,조항산~고모치,2,폐쇄,백두대간마루금 등산로
충주국유림관리소,백두대간,괴산군,청천면,삼송리,산18-1,조항산~고모치,2,폐쇄,백두대간마루금 등산로
충주국유림관리소,백두대간,괴산군,청천면,삼송리,산20-9,조항산~고모치,2,폐쇄,백두대간마루금 등산로
충주국유림관리소,백두대간,괴산군,연풍면,주진리,산45-5,은티재~악휘봉,2,폐쇄,백두대간마루금 등산로
충주국유림관리소,원통산,음성군,감곡면,사곡리,산57-1,사곡리 명품숲,3.0190000000000001,폐쇄,원통산숲길
충주국유림관리소,천등산,충주시,산척면,송강리,산2-1,A구간~B코스임도~천등산카메라광장,8,폐쇄,천등산숲길
충주국유림관리소,천등산,충주시,산척면,송강리,산15-1,A구간~B코스임도~천등산카메라광장,8,폐쇄,천등산숲길
충주국유림관리소,천등산,충주시,산척면,명서리,산1-1,A구간~B코스임도~천등산카메라광장,8,폐쇄,천등산숲길
충주국유림관리소,천등산,충주시,산척면,석천리,산106-1,A구간~B코스임도~천등산카메라광장,8,폐쇄,천등산숲길
보은국유림관리소,양성산,청주시,문의면,문산리,산5,문의문화재단지~양성산 팔각정,7.8,개방,양성산숲길
보은국유림관리소,양성산,청주시,문의면,미천리,산52,문의문화재단지~양성산 팔각정,7.8,개방,양성산숲길
보은국유림관리소,양성산,청주시,문의면,미천리,산38-2,마천방죽~양성산 팔각정,7.8,개방,양성산숲길
보은국유림관리소,양성산,청주시,문의면,두모리,산38,마천방죽~양성산 팔각정,7.8,개방,양성산숲길
보은국유림관리소,양성산,청주시,문의면,두모리,산33-1,양성산 팔각정~작두산,7.8,개방,양성산숲길
보은국유림관리소,백족산,청주시,가덕면,한계리,산21,충청북도자치연수원~백족산,5.6,개방,백족산숲길
보은국유림관리소,백족산,청주시,가덕면,추정리,산115,충청북도자치연수원~백족산,5.6,개방,백족산숲길
보은국유림관리소,선도산,청주시,월오동,,산47-1,목련공원~국민체육센터,3.2,개방,월오동숲길
보은국유림관리소,선도산,청주시,월오동,,산47-1,월오동숲길~선도산,2,개방,월오동숲길
보은국유림관리소,선도산,청주시,낭성면,현암리,산19,월오동숲길~선도산,2,개방,월오동숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산30-1,상당산성자연휴양림~상당산성~상봉재,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산3,상당산성자연휴양림~상당산성~상봉재,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산3-4,상당산성자연휴양림~상당산성~상봉재,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산24-3,상당산성자연휴양림~상당산성~상봉재,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산25-1,상당산성자연휴양림~상당산성~상봉재,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산25-10,상당산성자연휴양림~상당산성~상봉재,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산25-11,상당산성자연휴양림~상당산성~상봉재,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산109,상봉재옛길,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,상당산,청주시,내수읍,덕암리,산109-1,상봉재옛길,9.6999999999999993,개방,상당산성 힐링숲길
보은국유림관리소,백두대간,영동군,상촌면,물한리,산39-8,삼도봉~우두령(10.45km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,상촌면,물한리,산39-7,삼도봉~우두령(10.45km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,상촌면,대해리,산144-1,삼도봉~우두령(10.45km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,상촌면,흥덕리,산62-1,삼도봉~우두령(10.45km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,상촌면,흥덕리,산11,우두령~황악산(2.91km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,매곡면,어촌리,산106-1,황악산~천덕산~괘방령(4.30km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,매곡면,어촌리,산107-1,황악산~천덕산~괘방령(4.30km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,매곡면,어촌리,산33-4,황악산~천덕산~괘방령(4.30km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,매곡면,어촌리,산1,괘방령~장군봉~눌의산~추풍령(1.14km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,매곡면,옥전리,산5,괘방령~장군봉~눌의산~추풍령(1.14km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,추풍령면,추풍령리,산53,괘방령~장군봉~눌의산~추풍령(1.14km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,추풍령면,추풍령리,산35,괘방령~장군봉~눌의산~추풍령(1.14km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,추풍령면,죽전리,산119,추풍령~무좌골산(1.44km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,추풍령면,작점리,산53-3,추풍령~무좌골산(1.44km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,백두대간,영동군,추풍령면,작점리,산146-1,추풍령~무좌골산(1.44km),20.239999999999998,개방,백두대간마루금 등산로
보은국유림관리소,말티재,보은군,장안면,장재리,산5-1,말티재자연휴양림~말티재정상,2.5,개방,말티재숲길
부여국유림관리소,희리산,서천군,종천면,산천리,산35-1,관리실 -> 관리실(순환),9.8000000000000007,개방,휴양림
