valleyId,segmentId,field,value,sourceUrl,checkedAt,note,confidence
baegun-pocheon,baegun-pocheon-whole,depth,adult,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 37 '영평천' 일반지역·계곡 (경기도 포천시 이동면 도평리 36 일대) 중심선에서 1705 m [읍면리 일치]; 평균 2 m·최대 3 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
baegun-pocheon,baegun-pocheon-whole,bed,,,,비공식 출처라 제거(thetravelnews.co.kr; 이전 값 mixed),
baegun-pocheon,baegun-pocheon-whole,accessDifficulty,,,,,
baegun-pocheon,baegun-pocheon-whole,swimBanned,false,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 37 '영평천' 일반지역·계곡 (경기도 포천시 이동면 도평리 36 일대) 중심선에서 1705 m [읍면리 일치],high
baegun-pocheon,baegun-pocheon-whole,freeAccess,,,,비공식 출처라 제거(thetravelnews.co.kr; 이전 값 true),
baegun-pocheon,baegun-pocheon-whole,campingAllowed,,,,비공식 출처라 제거(thetravelnews.co.kr; 이전 값 false),
baegun-pocheon,baegun-pocheon-whole,petAllowed,,,,,
baegun-pocheon,baegun-pocheon-whole,riskNote,물놀이관리지역(일반) 영평천 — 최대 수심 3 m·평균 2 m,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 37 '영평천' 일반지역·계곡 (경기도 포천시 이동면 도평리 36 일대) 중심선에서 1705 m [읍면리 일치]; MANAGEMENT·WATER_DEEP·WATER_AVG 그대로,high
cheonghakdong,cheonghakdong-whole,depth,,,,,
cheonghakdong,cheonghakdong-whole,bed,,,,,
cheonghakdong,cheonghakdong-whole,accessDifficulty,,,,,
cheonghakdong,cheonghakdong-whole,swimBanned,,,,,
cheonghakdong,cheonghakdong-whole,freeAccess,,,,,
cheonghakdong,cheonghakdong-whole,campingAllowed,,,,,
cheonghakdong,cheonghakdong-whole,petAllowed,,,,,
cheonghakdong,cheonghakdong-whole,riskNote,,,,,
bisun-sanjeong,bisun-sanjeong-whole,depth,,,,,
bisun-sanjeong,bisun-sanjeong-whole,bed,,,,,
bisun-sanjeong,bisun-sanjeong-whole,accessDifficulty,,,,,
bisun-sanjeong,bisun-sanjeong-whole,swimBanned,,,,,
bisun-sanjeong,bisun-sanjeong-whole,freeAccess,,,,비공식 출처라 제거(www.telltrip.com; 이전 값 true),
bisun-sanjeong,bisun-sanjeong-whole,campingAllowed,,,,,
bisun-sanjeong,bisun-sanjeong-whole,petAllowed,true,https://www.pocheon.go.kr/ktour/viewTursmResrceWeb.do?key=9674&resrceNo=7&sa2=CT011001,2026-09-06,"포천시 문화관광 산정호수 페이지 ""동반구분 : 가능"" ""목줄착용"" ""맹견의 경우 입마개 착용 필수"" (비선폭포·등룡폭포 진입부 관광지 기준)",medium
bisun-sanjeong,bisun-sanjeong-whole,riskNote,,,,,
jijangsan,jijangsan-whole,depth,,,,비공식 출처라 제거(landyplay.com; 이전 값 mixed),
jijangsan,jijangsan-whole,bed,,,,,
jijangsan,jijangsan-whole,accessDifficulty,,,,,
jijangsan,jijangsan-whole,swimBanned,,,,,
jijangsan,jijangsan-whole,freeAccess,,,,,
jijangsan,jijangsan-whole,campingAllowed,,,,,
jijangsan,jijangsan-whole,petAllowed,,,,,
jijangsan,jijangsan-whole,riskNote,,,,,
wangbang,wangbang-whole,depth,,,,비공식 출처라 제거(www.kpinews.kr; 이전 값 knee),
wangbang,wangbang-whole,bed,mixed,https://www.ddc.go.kr/tour/contents.do?key=578,2026-09-06,"동두천시 문화관광 ""석벽, 암반, 기암괴석이 조화""; kpinews ""바위들이 병풍처럼""; mom-mom.net ""바닥의 돌들이 날카롭지 않아"" → 암반+돌",medium
wangbang,wangbang-whole,accessDifficulty,,,,,
wangbang,wangbang-whole,swimBanned,,,,,
wangbang,wangbang-whole,freeAccess,,,,비공식 출처라 제거(www.newswhoplus.com; 이전 값 true),
wangbang,wangbang-whole,campingAllowed,,,,비공식 출처라 제거(www.kpinews.kr; 이전 값 false),
wangbang,wangbang-whole,petAllowed,,,,,
wangbang,wangbang-whole,riskNote,,,,,
myeongji,myeongji-whole,depth,mixed,https://www.safemap.go.kr/wtrPlay/searchWtrplay.do,2026-09-06,생활안전지도 OBJT_ID 90 '도마천' 일반지역·하천 (경기도 가평군 북면 적목리 643) 중심선에서 10 m [거리]; 위험지역 OBJT_ID 1100 625 m; 평균 1 m·최대 3 m 환산(≤0.5 knee·≤1 waist·>1 adult·최대≥2×평균 mixed),high
myeongji,myeongji-whole,bed,,,,비공식 출처라 제거(www.welfarehello.com; 이전 값 mixed),
myeongji,myeongji-whole,accessDifficulty,,,,,
